Name,Temperature,Volume (ml),Calories (kcal),Caffeine (mg),Sugar (g),Fat (g),Sodium (mg),Price (KRW),Cafe,Category
HOT 더블에스프레소,HOT,59.0,22.0,237.0,0.0,0.0,0.0,1500,빽다방,커피
HOT 아메리카노,HOT,473.0,14.0,237.0,0.0,0.0,4.0,1500,빽다방,커피
ICE 아메리카노,ICE,710.0,13.0,237.0,0.0,0.0,4.0,2000,빽다방,커피
HOT 원조커피,HOT,473.0,471.0,406.0,57.0,7.0,24.0,2500,빽다방,커피
ICE 원조커피,ICE,710.0,425.0,371.0,48.0,12.0,22.0,2500,빽다방,커피
HOT 원조커피 제로슈거,HOT,473.0,372.0,489.0,0.0,18.0,87.0,2500,빽다방,커피
ICE 원조커피 제로슈거,ICE,710.0,327.0,452.0,4.0,16.0,74.0,2500,빽다방,커피
HOT 달달연유라떼,HOT,473.0,491.0,237.0,62.0,11.0,199.0,3700,빽다방,커피
ICE 달달연유라떼,ICE,710.0,394.0,237.0,54.0,9.0,135.0,3700,빽다방,커피
HOT 카페라떼,HOT,473.0,253.0,237.0,9.0,14.0,69.0,3000,빽다방,커피
ICE 카페라떼,ICE,710.0,198.0,237.0,10.0,8.0,81.0,3000,빽다방,커피
ICE 블랙펄카페라떼,ICE,710.0,429.0,118.5,59.0,6.0,115.0,4500,빽다방,커피
HOT 바닐라라떼,HOT,473.0,351.0,237.0,35.0,12.0,136.0,3700,빽다방,커피
ICE 바닐라라떼,ICE,710.0,433.0,237.0,38.0,13.0,144.0,3700,빽다방,커피
ICE 아샷추,ICE,710.0,265.0,93.0,64.0,0.0,17.0,3300,빽다방,커피
ICE 아샷망추,ICE,710.0,311.0,105.0,66.0,0.1,23.0,4300,빽다방,커피
HOT 카페모카,HOT,473.0,319.0,237.0,32.0,8.0,144.0,3500,빽다방,커피
ICE 카페모카,ICE,710.0,365.0,237.0,36.0,8.0,146.0,3500,빽다방,커피
HOT 카라멜마키아또,HOT,473.0,354.0,237.0,40.0,7.0,137.0,3500,빽다방,커피
ICE 카라멜마키아또,ICE,710.0,382.0,237.0,43.0,8.0,148.0,3500,빽다방,커피
HOT 바나나 카페라떼,HOT,473.0,297.0,119.0,40.0,7.0,156.0,4000,빽다방,커피
ICE 바나나 카페라떼,ICE,710.0,303.0,119.0,39.0,7.0,150.0,4000,빽다방,커피
ICE 바나나 커피쉐이크,ICE,710.0,380.0,119.0,63.0,4.0,209.0,4800,빽다방,커피
ICE 크림 카페라떼,ICE,710.0,357.0,237.0,32.0,13.0,126.0,3700,빽다방,커피
ICE 크림 바닐라라떼,ICE,710.0,520.0,237.0,49.0,15.0,214.0,4400,빽다방,커피
ICE 크림 카페모카,ICE,710.0,512.0,237.0,50.0,14.0,222.0,4200,빽다방,커피
ICE 콜드브루,ICE,710.0,15.0,209.0,0.0,0.0,2.0,4000,빽다방,커피
HOT 콜드브루,HOT,473.0,15.0,209.0,0.0,0.0,3.0,4000,빽다방,커피
ICE 디카페인 콜드브루,ICE,710.0,11.0,15.0,0.0,0.0,5.0,4000,빽다방,디카페인
HOT 디카페인 콜드브루,HOT,473.0,11.0,15.0,0.0,0.0,5.0,4000,빽다방,디카페인
ICE 콜드브루라떼,ICE,710.0,168.0,209.0,9.0,6.0,65.0,4500,빽다방,커피
HOT 콜드브루라떼,HOT,473.0,206.0,209.0,13.0,7.0,82.0,4500,빽다방,커피
ICE 디카페인 콜드브루라떼,ICE,710.0,162.0,15.0,9.0,5.0,90.0,4500,빽다방,디카페인
HOT 디카페인 콜드브루라떼,HOT,473.0,162.0,15.0,9.0,5.0,90.0,4500,빽다방,디카페인
ICE 콜드브루라떼 연유,ICE,710.0,379.0,209.0,36.0,9.0,115.0,5500,빽다방,커피
HOT 콜드브루라떼 연유,HOT,473.0,371.0,209.0,39.0,9.0,128.0,5500,빽다방,커피
ICE 디카페인 콜드브루라떼 연유,ICE,710.0,357.0,15.0,40.0,9.0,133.0,5500,빽다방,디카페인
HOT 디카페인 콜드브루라떼 연유,HOT,473.0,357.0,15.0,40.0,9.0,133.0,5500,빽다방,디카페인
ICE 콜드브루라떼 흑당,ICE,710.0,312.0,209.0,44.0,5.0,77.0,5500,빽다방,커피
HOT 콜드브루라떼 흑당,HOT,473.0,334.0,209.0,42.0,4.0,72.0,5500,빽다방,커피
ICE 디카페인 콜드브루라떼 흑당,ICE,710.0,280.0,15.0,45.0,4.0,87.0,5500,빽다방,디카페인
HOT 디카페인 콜드브루라떼 흑당,HOT,473.0,280.0,15.0,45.0,4.0,87.0,5500,빽다방,디카페인
ICE 빽사이즈 아메리카노,ICE,946.0,19.0,474.0,0.0,0.0,8.0,3000,빽다방,커피
ICE 빽사이즈 원조커피,ICE,946.0,646.0,564.0,73.0,18.0,34.0,3500,빽다방,커피
ICE 빽사이즈 원조커피 제로슈거,ICE,946.0,497.0,686.0,0.0,25.0,113.0,3500,빽다방,커피
ICE 빽사이즈 카페라떼,ICE,946.0,278.0,474.0,17.0,9.0,142.0,4500,빽다방,커피
ICE 빽사이즈 아샷추,ICE,946.0,297.0,167.0,68.0,0.0,22.0,4300,빽다방,커피
ICE 빽사이즈 아샷망추,ICE,946.0,500.0,215.0,106.0,0.2,28.0,6300,빽다방,커피
ICE 솜사탕 딸기 밀크쉐이크,ICE,710.0,580.0,0.0,90.0,9.0,227.0,4000,빽다방,주스/에이드/음료
HOT 뱅쇼,HOT,473.0,223.0,0.0,46.0,0.0,12.0,3800,빽다방,주스/에이드/음료
ICE 뱅쇼,ICE,710.0,210.0,0.0,46.0,0.0,10.0,3800,빽다방,주스/에이드/음료
HOT 우리쌀라떼,HOT,473.0,395.0,0.0,35.0,5.9,209.0,4000,빽다방,주스/에이드/음료
ICE 우리쌀라떼,ICE,710.0,441.0,0.0,44.0,6.2,225.0,4000,빽다방,주스/에이드/음료
ICE 우리쌀쉐이크,ICE,710.0,534.0,0.0,48.0,6.7,278.0,4500,빽다방,주스/에이드/음료
HOT 대추차,HOT,473.0,206.0,0.0,38.0,0.1,4.0,3000,빽다방,주스/에이드/음료
ICE 대추차,ICE,710.0,261.0,0.0,53.0,0.1,2.0,3000,빽다방,주스/에이드/음료
HOT 쌍화차,HOT,473.0,201.0,0.0,45.0,0.1,31.0,3000,빽다방,주스/에이드/음료
ICE 쌍화차,ICE,710.0,262.0,0.0,57.0,0.1,40.0,3000,빽다방,주스/에이드/음료
HOT 대추라떼,HOT,473.0,382.0,0.0,55.0,5.0,74.0,4000,빽다방,주스/에이드/음료
ICE 대추라떼,ICE,710.0,366.0,0.0,49.0,5.0,86.0,4000,빽다방,주스/에이드/음료
HOT 쌍화라떼,HOT,473.0,378.0,0.0,64.0,5.0,108.0,4000,빽다방,주스/에이드/음료
ICE 쌍화라떼,ICE,710.0,350.0,0.0,51.0,5.0,117.0,4000,빽다방,주스/에이드/음료
ICE 구아바 크림 주스,ICE,710.0,307.0,0.0,36.0,10.0,43.0,4300,빽다방,주스/에이드/음료
ICE 포멜로 크림 주스,ICE,710.0,317.0,0.0,36.0,10.0,72.0,4300,빽다방,주스/에이드/음료
ICE 레몬 구아바 크러시,ICE,710.0,268.0,0.0,64.0,0.0,74.0,4500,빽다방,주스/에이드/음료
ICE 자몽 포멜로 크러시,ICE,710.0,195.0,0.0,46.0,0.0,58.0,4500,빽다방,주스/에이드/음료
ICE 아망추,ICE,710.0,295.0,15.0,60.0,0.1,18.0,3800,빽다방,주스/에이드/음료
HOT 아임파인민트티,HOT,473.0,59.0,4.0,0.0,0.0,6.0,3000,빽다방,주스/에이드/음료
ICE 아임파인민트티,ICE,710.0,52.0,4.0,0.0,0.0,5.0,3000,빽다방,주스/에이드/음료
HOT 트로피칼후르츠티,HOT,473.0,67.0,0.0,0.0,0.0,3.0,3000,빽다방,주스/에이드/음료
ICE 트로피칼후르츠티,ICE,710.0,77.0,0.0,0.0,0.0,2.0,3000,빽다방,주스/에이드/음료
ICE 멜론소다,ICE,473.0,455.0,0.0,86.0,6.0,77.0,3800,빽다방,주스/에이드/음료
ICE 트로피칼팝핑스무디,ICE,473.0,455.0,0.0,96.0,0.2,104.0,3800,빽다방,주스/에이드/음료
ICE 식혜,ICE,710.0,287.0,0.0,63.0,0.1,4.0,2500,빽다방,주스/에이드/음료
HOT 고구마라떼,HOT,473.0,463.0,0.0,71.0,6.0,110.0,3800,빽다방,주스/에이드/음료
ICE 고구마라떼,ICE,710.0,413.0,0.0,56.0,5.0,101.0,3800,빽다방,주스/에이드/음료
HOT 꿀밤라떼,HOT,473.0,513.0,0.0,54.0,8.0,290.0,3800,빽다방,주스/에이드/음료
ICE 꿀밤라떼,ICE,710.0,436.0,0.0,50.0,6.0,210.0,3800,빽다방,주스/에이드/음료
ICE 고구마스무디,ICE,710.0,481.0,0.0,70.0,4.0,92.0,4300,빽다방,주스/에이드/음료
HOT 바나나 라떼,HOT,473.0,302.0,0.0,37.0,7.0,156.0,3500,빽다방,주스/에이드/음료
ICE 바나나 라떼,ICE,710.0,295.0,0.0,42.0,7.0,154.0,3500,빽다방,주스/에이드/음료
ICE 바나나 밀크쉐이크,ICE,710.0,380.0,0.0,66.0,5.0,216.0,4300,빽다방,주스/에이드/음료
ICE 크러시 멜론,ICE,710.0,349.0,0.0,80.0,0.0,51.0,2500,빽다방,주스/에이드/음료
ICE 퐁당치노바닐라,ICE,710.0,496.0,0.0,60.0,9.0,211.0,3800,빽다방,주스/에이드/음료
ICE 퐁당치노원조커피,ICE,710.0,483.0,206.0,54.0,10.0,106.0,3800,빽다방,주스/에이드/음료
ICE 퐁당치노미숫가루,ICE,710.0,613.0,0.0,74.0,9.0,214.0,4200,빽다방,주스/에이드/음료
HOT 초코라떼,HOT,473.0,342.0,15.0,45.0,6.0,108.0,3500,빽다방,주스/에이드/음료
ICE 초코라떼,ICE,710.0,387.0,16.0,56.0,7.0,126.0,3500,빽다방,주스/에이드/음료
HOT 녹차라떼,HOT,473.0,481.0,208.0,63.0,7.0,156.0,3800,빽다방,주스/에이드/음료
ICE 녹차라떼,ICE,710.0,361.0,152.0,49.0,6.0,116.0,3800,빽다방,주스/에이드/음료
HOT 민트초코라떼,HOT,473.0,413.0,30.0,58.0,11.0,187.0,3500,빽다방,주스/에이드/음료
ICE 민트초코라떼,ICE,710.0,498.0,38.0,43.0,11.0,210.0,3500,빽다방,주스/에이드/음료
HOT 토피넛라떼,HOT,473.0,411.0,51.0,19.0,13.0,174.0,3500,빽다방,주스/에이드/음료
ICE 토피넛라떼,ICE,710.0,469.0,51.0,16.0,14.0,197.0,3500,빽다방,주스/에이드/음료
ICE 블랙펄라떼,ICE,710.0,397.0,0.0,51.0,7.0,109.0,4000,빽다방,주스/에이드/음료
ICE 미숫가루,ICE,710.0,308.0,0.0,38.0,1.0,101.0,3000,빽다방,주스/에이드/음료
ICE 체리콕콕,ICE,710.0,290.0,23.0,72.0,0.0,7.0,3500,빽다방,주스/에이드/음료
HOT 밀크티,HOT,473.0,313.0,133.0,35.0,7.0,70.0,3500,빽다방,주스/에이드/음료
ICE 밀크티,ICE,710.0,353.0,133.0,37.0,7.0,77.0,3500,빽다방,주스/에이드/음료
ICE 블랙펄밀크티,ICE,710.0,513.0,77.0,60.0,14.0,82.0,4500,빽다방,주스/에이드/음료
HOT 페퍼민트티,HOT,473.0,1.0,0.0,0.0,0.0,4.0,2500,빽다방,주스/에이드/음료
ICE 페퍼민트티,ICE,710.0,1.0,0.0,0.0,0.0,4.0,2500,빽다방,주스/에이드/음료
HOT 황금캐모마일티,HOT,473.0,7.0,0.0,0.0,0.0,4.0,2500,빽다방,주스/에이드/음료
ICE 황금캐모마일티,ICE,710.0,8.0,0.0,0.0,0.0,3.0,2500,빽다방,주스/에이드/음료
HOT 깔라만시티,HOT,473.0,268.0,0.0,66.0,0.0,130.0,3000,빽다방,주스/에이드/음료
ICE 깔라만시티,ICE,710.0,243.0,0.0,59.0,0.0,117.0,3000,빽다방,주스/에이드/음료
ICE 달콤 티,ICE,710.0,267.0,21.0,63.0,0.0,19.0,2800,빽다방,주스/에이드/음료
HOT 레몬티,HOT,473.0,272.0,0.0,66.0,0.0,60.0,3500,빽다방,주스/에이드/음료
ICE 레몬티,ICE,710.0,277.0,0.0,67.0,0.0,118.0,3500,빽다방,주스/에이드/음료
HOT 피치우롱스위티,HOT,473.0,150.0,65.0,35.0,0.0,7.0,3000,빽다방,주스/에이드/음료
ICE 피치우롱스위티,ICE,710.0,150.0,71.0,32.0,0.0,5.0,3000,빽다방,주스/에이드/음료
HOT 우롱티,HOT,473.0,7.0,92.0,0.0,0.0,5.0,2000,빽다방,주스/에이드/음료
ICE 우롱티,ICE,710.0,3.0,67.0,0.0,0.0,1.0,2000,빽다방,주스/에이드/음료
HOT 레몬얼그레이티,HOT,473.0,110.0,72.0,25.0,0.0,1.0,3500,빽다방,주스/에이드/음료
ICE 레몬얼그레이티,ICE,710.0,110.0,72.0,25.0,0.0,1.0,3500,빽다방,주스/에이드/음료
HOT 오렌지자몽블랙티,HOT,473.0,110.0,90.0,25.0,0.0,1.0,3500,빽다방,주스/에이드/음료
ICE 오렌지자몽블랙티,ICE,710.0,110.0,90.0,25.0,0.0,1.0,3500,빽다방,주스/에이드/음료
HOT 유자티,HOT,473.0,284.0,0.0,69.0,0.0,61.0,3500,빽다방,주스/에이드/음료
ICE 유자티,ICE,710.0,261.0,0.0,64.0,0.0,58.0,3500,빽다방,주스/에이드/음료
HOT 자몽티,HOT,473.0,281.0,0.0,66.0,0.0,15.0,3500,빽다방,주스/에이드/음료
ICE 자몽티,ICE,710.0,242.0,0.0,52.0,0.0,27.0,3500,빽다방,주스/에이드/음료
ICE 청포도플라워,ICE,710.0,220.0,0.0,52.0,0.0,6.0,3500,빽다방,주스/에이드/음료
ICE 미초,ICE,710.0,147.0,0.0,36.0,0.06,9.0,2500,빽다방,주스/에이드/음료
ICE 딸기에이드,ICE,710.0,184.0,0.0,39.0,0.0,10.0,3800,빽다방,주스/에이드/음료
ICE 레모네이드,ICE,710.0,246.0,0.0,60.0,0.0,55.0,4000,빽다방,주스/에이드/음료
ICE 청포도에이드,ICE,710.0,234.0,0.0,56.0,0.0,8.0,4000,빽다방,주스/에이드/음료
ICE 깔라만시에이드,ICE,710.0,215.0,0.0,50.0,0.0,81.0,3800,빽다방,주스/에이드/음료
ICE 유자에이드,ICE,710.0,251.0,0.0,62.0,0.0,51.0,4000,빽다방,주스/에이드/음료
ICE 자몽에이드,ICE,710.0,258.0,0.0,61.0,0.0,16.0,4000,빽다방,주스/에이드/음료
ICE 복숭아에이드,ICE,710.0,241.0,0.0,54.0,0.0,6.0,4000,빽다방,주스/에이드/음료
ICE 미초에이드,ICE,710.0,141.0,0.0,32.0,0.07,5.0,3000,빽다방,주스/에이드/음료
ICE 완전딸기주스,ICE,710.0,224.0,0.0,43.0,0.0,7.0,4300,빽다방,주스/에이드/음료
ICE 완전망고주스,ICE,710.0,241.0,0.0,37.0,0.0,7.0,3800,빽다방,주스/에이드/음료
ICE 완전블루베리주스,ICE,710.0,231.0,0.0,49.0,0.1,6.0,4800,빽다방,주스/에이드/음료
ICE 블루베리요거트스무디,ICE,710.0,484.0,0.0,74.0,6.0,99.0,5300,빽다방,주스/에이드/음료
ICE 밀크쉐이크,ICE,710.0,535.0,0.0,52.0,6.0,390.0,3500,빽다방,주스/에이드/음료
ICE 플레인요거트스무디,ICE,710.0,494.0,0.0,94.0,6.0,77.0,3500,빽다방,주스/에이드/음료
ICE 딸기요거트스무디,ICE,710.0,448.0,0.0,45.0,6.0,109.0,4300,빽다방,주스/에이드/음료
ICE 빽사이즈 초코라떼,ICE,946.0,555.0,23.0,90.0,8.0,333.0,5000,빽다방,주스/에이드/음료
ICE 빽사이즈 달콤 티,ICE,946.0,406.0,32.0,95.0,0.0,29.0,3800,빽다방,주스/에이드/음료
ICE 빽사이즈 아망추,ICE,946.0,547.0,26.0,118.0,0.1,38.0,5800,빽다방,주스/에이드/음료
ICE 딸기라떼,ICE,710.0,331.0,0.0,54.0,5.0,83.0,3800,빽다방,주스/에이드/음료
ICE 원조빽스치노 베이직,ICE,710.0,578.0,280.0,75.0,16.0,122.0,3300,빽다방,라떼/기타
ICE 원조빽스치노 소프트,ICE,710.0,785.0,280.0,87.0,26.0,166.0,3800,빽다방,라떼/기타
ICE 딸기바나나빽스치노 베이직,ICE,710.0,500.0,0.0,93.0,2.0,108.0,4000,빽다방,라떼/기타
ICE 딸기바나나빽스치노 소프트,ICE,710.0,685.0,0.0,138.0,12.0,164.0,4500,빽다방,라떼/기타
ICE 초코바나나빽스치노 베이직,ICE,710.0,607.0,24.0,72.0,5.0,181.0,4000,빽다방,라떼/기타
ICE 초코바나나빽스치노 소프트,ICE,710.0,792.0,24.0,117.0,15.0,237.0,4500,빽다방,라떼/기타
ICE 딸기빽스치노 베이직,ICE,710.0,480.0,0.0,86.0,4.0,127.0,4000,빽다방,라떼/기타
ICE 딸기빽스치노 소프트,ICE,710.0,687.0,0.0,98.0,14.0,170.0,4500,빽다방,라떼/기타
ICE 녹차빽스치노 베이직,ICE,710.0,548.0,260.0,90.0,7.0,157.0,4000,빽다방,라떼/기타
ICE 녹차빽스치노 소프트,ICE,710.0,755.0,260.0,103.0,17.0,200.0,4500,빽다방,라떼/기타
ICE 민트초코빽스치노 베이직,ICE,710.0,602.0,51.0,28.0,14.0,244.0,3800,빽다방,라떼/기타
ICE 민트초코빽스치노 소프트,ICE,710.0,809.0,51.0,40.0,24.0,287.0,4300,빽다방,라떼/기타
ICE 쿠키크런치빽스치노 베이직,ICE,710.0,768.0,11.0,93.0,15.0,247.0,3800,빽다방,라떼/기타
ICE 쿠키크런치빽스치노 소프트,ICE,710.0,942.0,11.0,103.0,23.0,284.0,4300,빽다방,라떼/기타
ICE 초코빽스치노 베이직,ICE,710.0,520.0,36.0,92.0,6.0,119.0,4000,빽다방,라떼/기타
ICE 초코빽스치노 소프트,ICE,710.0,694.0,36.0,103.0,15.0,155.0,4500,빽다방,라떼/기타
ICE 피스타치오빽스치노 베이직,ICE,710.0,535.0,10.0,12.0,16.0,329.0,4500,빽다방,라떼/기타
ICE 피스타치오빽스치노 소프트,ICE,710.0,742.0,10.0,24.0,26.0,373.0,5000,빽다방,라떼/기타
HOT 블랙아리아 아메리카노,HOT,354.0,9.0,153.0,0.0,0.1,0.0,5200,할리스,커피
ICE 블랙아리아 아메리카노,ICE,354.0,9.0,153.0,0.0,0.1,0.0,5200,할리스,커피
HOT 블랙아리아 딥라떼,HOT,354.0,165.0,153.0,12.0,6.0,130.0,5800,할리스,커피
ICE 블랙아리아 딥라떼,ICE,354.0,96.0,153.0,7.0,3.4,73.0,5800,할리스,커피
HOT 돌체 라떼,HOT,354.0,289.0,93.0,31.0,7.6,180.0,6200,할리스,커피
ICE 돌체 라떼,ICE,354.0,154.0,93.0,16.0,3.9,93.0,6200,할리스,커피
HOT 디카페인 아메리카노,HOT,354.0,12.0,3.0,0.0,0.0,6.0,5100,할리스,디카페인
ICE 디카페인 아메리카노,ICE,354.0,12.0,3.0,0.0,0.0,6.0,5100,할리스,디카페인
HOT 디카페인 카페라떼,HOT,354.0,175.0,3.0,12.0,6.3,142.0,5600,할리스,디카페인
ICE 디카페인 카페라떼,ICE,354.0,114.0,3.0,8.0,3.9,91.0,5600,할리스,디카페인
HOT 디카페인 바닐라 딜라이트,HOT,354.0,247.0,25.0,31.0,5.6,218.0,6600,할리스,디카페인
ICE 디카페인 바닐라 딜라이트,ICE,354.0,192.0,25.0,24.0,4.8,147.0,6600,할리스,디카페인
ICE 콜드브루 딜라이트,ICE,354.0,198.0,195.0,23.0,4.8,106.0,6500,할리스,커피
ICE 콜드브루 라떼,ICE,354.0,114.0,195.0,8.0,3.9,88.0,5600,할리스,커피
ICE 콜드브루,ICE,354.0,12.0,195.0,0.0,0.0,3.0,5000,할리스,커피
HOT 바닐라 딜라이트,HOT,354.0,245.0,83.0,31.0,5.6,213.0,6200,할리스,커피
ICE 바닐라 딜라이트,ICE,354.0,199.0,83.0,25.0,4.9,155.0,6200,할리스,커피
HOT 카라멜 마키아또,HOT,354.0,227.0,127.0,23.0,6.1,135.0,6200,할리스,커피
ICE 카라멜 마키아또,ICE,354.0,161.0,127.0,18.0,3.6,80.0,6200,할리스,커피
HOT 카페 모카,HOT,354.0,301.0,132.0,30.0,10.2,166.0,5800,할리스,커피
ICE 카페 모카,ICE,354.0,237.0,132.0,25.0,7.7,112.0,5800,할리스,커피
HOT 카푸치노,HOT,354.0,149.0,127.0,10.0,5.3,115.0,5200,할리스,커피
HOT 카페라떼,HOT,354.0,167.0,127.0,12.0,6.0,130.0,5200,할리스,커피
ICE 카페라떼,ICE,354.0,96.0,127.0,6.0,3.3,72.0,5200,할리스,커피
HOT 아메리카노,HOT,354.0,12.0,114.0,0.0,0.1,5.0,4700,할리스,커피
ICE 아메리카노,ICE,354.0,12.0,114.0,0.0,0.1,5.0,4700,할리스,커피
HOT 꿀모과차,HOT,354.0,189.0,0.0,43.0,0.0,63.0,5500,할리스,라떼/기타
ICE 꿀모과차,ICE,354.0,189.0,0.0,43.0,0.0,63.0,5500,할리스,라떼/기타
HOT 레몬 생강차,HOT,354.0,208.0,0.0,39.0,0.3,57.0,5500,할리스,라떼/기타
ICE 레몬 생강차,ICE,354.0,208.0,0.0,39.0,0.3,57.0,5500,할리스,라떼/기타
HOT 대추 생강차,HOT,354.0,229.0,0.0,45.0,0.0,25.0,5500,할리스,라떼/기타
ICE 대추 생강차,ICE,354.0,229.0,0.0,45.0,0.0,25.0,5500,할리스,라떼/기타
HOT 제주 레몬 애플티,HOT,354.0,227.0,0.0,54.0,0.0,140.0,5800,할리스,라떼/기타
ICE 제주 레몬 애플티,ICE,354.0,227.0,0.0,54.0,0.0,140.0,5800,할리스,라떼/기타
ICE 로얄 밀크 버블티,ICE,354.0,352.0,0.0,30.0,4.2,109.0,6000,할리스,라떼/기타
HOT 로얄 밀크티 라떼,HOT,354.0,287.0,51.0,29.0,6.3,140.0,6000,할리스,라떼/기타
ICE 로얄 밀크티 라떼,ICE,354.0,231.0,51.0,25.0,4.2,94.0,6000,할리스,라떼/기타
ICE 흑당 버블티,ICE,354.0,316.0,0.0,34.0,3.7,108.0,5900,할리스,라떼/기타
ICE 핑크 파인 캐모마일티,ICE,354.0,183.0,0.0,40.0,0.0,15.0,5700,할리스,라떼/기타
HOT 제주 말차 라떼,HOT,354.0,347.0,129.0,44.0,7.0,152.0,6000,할리스,라떼/기타
ICE 제주 말차 라떼,ICE,354.0,251.0,129.0,36.0,3.6,79.0,6000,할리스,라떼/기타
HOT 민트초코,HOT,354.0,470.0,3.0,55.0,15.6,279.0,6100,할리스,라떼/기타
ICE 민트초코,ICE,354.0,377.0,3.0,48.0,12.0,202.0,6100,할리스,라떼/기타
HOT 초코,HOT,354.0,364.0,8.0,41.0,11.5,196.0,5900,할리스,라떼/기타
ICE 초코,ICE,354.0,304.0,8.0,36.0,9.2,146.0,5900,할리스,라떼/기타
HOT 화이트초코,HOT,354.0,371.0,23.0,42.0,12.3,159.0,5900,할리스,라떼/기타
ICE 화이트초코,ICE,354.0,311.0,23.0,37.0,10.0,109.0,5900,할리스,라떼/기타
HOT 유자 캐모마일,HOT,354.0,157.0,0.0,34.0,0.0,16.0,5700,할리스,라떼/기타
ICE 유자 캐모마일,ICE,354.0,157.0,0.0,34.0,0.0,16.0,5700,할리스,라떼/기타
HOT 복숭아 얼그레이,HOT,354.0,109.0,33.0,26.0,0.0,4.0,5700,할리스,라떼/기타
ICE 복숭아 얼그레이,ICE,354.0,109.0,33.0,26.0,0.0,4.0,5700,할리스,라떼/기타
HOT 홍자몽차,HOT,354.0,136.0,0.0,32.0,0.0,8.0,5300,할리스,라떼/기타
ICE 홍자몽차,ICE,354.0,136.0,0.0,32.0,0.0,8.0,5300,할리스,라떼/기타
HOT 제주 한라봉 감귤차,HOT,354.0,199.0,0.0,48.0,0.0,6.0,5300,할리스,라떼/기타
ICE 제주 한라봉 감귤차,ICE,354.0,199.0,0.0,48.0,0.0,6.0,5300,할리스,라떼/기타
HOT 고흥 유자차,HOT,354.0,252.0,0.0,50.0,0.0,23.0,5300,할리스,라떼/기타
ICE 고흥 유자차,ICE,354.0,252.0,0.0,50.0,0.0,23.0,5300,할리스,라떼/기타
HOT 해남 녹차,HOT,472.0,4.0,25.0,0.0,0.0,5.0,4900,할리스,라떼/기타
ICE 해남 녹차,ICE,472.0,4.0,25.0,0.0,0.0,5.0,4900,할리스,라떼/기타
HOT 페퍼민트,HOT,472.0,5.0,0.0,0.0,0.1,6.0,4900,할리스,라떼/기타
ICE 페퍼민트,ICE,472.0,5.0,0.0,0.0,0.1,6.0,4900,할리스,라떼/기타
HOT 캐모마일,HOT,472.0,5.0,0.0,0.0,0.1,4.0,4900,할리스,라떼/기타
ICE 캐모마일,ICE,472.0,5.0,0.0,0.0,0.1,4.0,4900,할리스,라떼/기타
HOT 얼그레이,HOT,472.0,5.0,17.0,0.0,0.0,4.0,4900,할리스,라떼/기타
ICE 얼그레이,ICE,472.0,5.0,17.0,0.0,0.0,4.0,4900,할리스,라떼/기타
ICE 헤이즐넛 초코칩 할리치노,ICE,354.0,452.0,3.0,51.0,14.2,202.0,6400,할리스,라떼/기타
ICE 콜드브루 모카 할리치노,ICE,354.0,323.0,137.0,37.0,10.2,176.0,6400,할리스,라떼/기타
ICE 제주 말차 할리치노,ICE,354.0,426.0,194.0,61.0,8.1,112.0,6400,할리스,라떼/기타
ICE 민트 초코칩 할리치노,ICE,354.0,438.0,3.0,57.0,12.8,227.0,6400,할리스,라떼/기타
ICE 딸기 치즈케익 할리치노,ICE,354.0,415.0,0.0,59.0,10.2,166.0,6400,할리스,라떼/기타
ICE 플레인 요거트 할리치노,ICE,354.0,292.0,0.0,58.0,0.9,202.0,6400,할리스,라떼/기타
ICE 콜드브루 할리치노,ICE,354.0,264.0,91.0,35.0,7.5,182.0,6400,할리스,라떼/기타
ICE 설향 생딸기 주스,ICE,472.0,154.0,0.0,33.0,0.0,0.0,7300,할리스,스무디/프라페
ICE 오렌지 자몽 생과일 주스,ICE,472.0,190.0,0.0,39.0,0.1,23.0,6600,할리스,스무디/프라페
ICE 토마토 생과일 주스,ICE,472.0,144.0,0.0,28.0,0.1,6.0,6600,할리스,스무디/프라페
ICE 피치 딸기 블렌디드,ICE,354.0,193.0,0.0,47.0,0.0,9.0,5900,할리스,스무디/프라페
ICE 애플망고 스무디,ICE,354.0,260.0,0.0,49.0,0.0,14.0,6500,할리스,스무디/프라페
ICE 딸기 스무디,ICE,354.0,247.0,0.0,44.0,0.0,44.0,6500,할리스,스무디/프라페
ICE 사과 비트 착즙 주스,ICE,354.0,125.0,0.0,25.0,0.0,45.0,6200,할리스,스무디/프라페
ICE 오렌지 당근 착즙 주스,ICE,354.0,120.0,0.0,23.0,0.0,55.0,6200,할리스,스무디/프라페
ICE 청포도케일 착즙 주스,ICE,354.0,129.0,0.0,27.0,0.0,29.0,6200,할리스,스무디/프라페
ICE 유자몽 스파클링,ICE,472.0,233.0,0.0,47.0,0.0,33.0,6200,할리스,티
ICE 복숭아 자두 스파클링,ICE,472.0,179.0,0.0,43.0,0.0,6.0,6200,할리스,티
ICE 청포도 스파클링,ICE,472.0,204.0,0.0,46.0,0.0,22.0,6200,할리스,티
HOT 시그니처 라떼,HOT,532.0,447.0,158.0,11.0,32.0,206.0,4700,이디야,커피
ICE 시그니처 라떼,ICE,532.0,376.0,158.0,9.0,27.0,172.0,4700,이디야,커피
HOT 민트모히또 라떼,HOT,532.0,548.0,158.0,34.0,30.0,195.0,4900,이디야,커피
ICE 민트모히또 라떼,ICE,532.0,446.0,158.0,31.0,23.0,147.0,4900,이디야,커피
