Name,Temperature,Volume (ml),Calories (kcal),Caffeine (mg),Sugar (g),Fat (g),Sodium (mg),Price (KRW),Cafe,Category
HOT TWG 카모마일 유자티,HOT,355.0,115.0,0.0,24.0,0.0,10.0,6500,투썸플레이스,티
ICE TWG 카모마일 유자티,ICE,414.0,85.0,0.0,17.0,0.0,5.0,6500,투썸플레이스,티
HOT 진저 시트러스 라떼,HOT,355.0,260.0,0.0,31.0,4.0,105.0,6300,투썸플레이스,티
ICE 진저 시트러스 라떼,ICE,414.0,190.0,0.0,27.0,2.7,55.0,6300,투썸플레이스,티
HOT 뱅쇼 로우 슈거,HOT,355.0,175.0,0.0,2.0,0.0,5.0,6500,투썸플레이스,티
ICE 뱅쇼 로우 슈거,ICE,414.0,155.0,0.0,3.0,0.0,5.0,6500,투썸플레이스,티
HOT 윈터 뱅쇼,HOT,355.0,200.0,0.0,44.0,0.0,5.0,6500,투썸플레이스,티
ICE 윈터 뱅쇼,ICE,414.0,200.0,0.0,43.0,0.0,0.0,6500,투썸플레이스,티
ICE 딸기쿠키프라페,ICE,600.0,706.0,0.0,84.0,21.0,209.0,4500,더 벤티,스무디/프라페
ICE 딸기코코넛프라페,ICE,600.0,350.0,0.0,34.0,11.6,145.0,4500,더 벤티,스무디/프라페
ICE 저당딸기코코넛프라페,ICE,600.0,321.0,0.0,27.0,143.0,11.6,4500,더 벤티,주스/에이드/음료
ICE 딸기연유라떼,ICE,600.0,367.0,0.0,32.0,0.1,7.0,4300,더 벤티,주스/에이드/음료
ICE 딸기주스,ICE,600.0,208.0,0.0,36.0,0.1,5.0,4900,더 벤티,주스/에이드/음료
ICE 딸기아인슈페너,ICE,420.0,367.0,0.0,28.0,2.1,51.0,3500,더 벤티,주스/에이드/음료
ICE 딸기뱅쇼,ICE,600.0,270.0,0.0,56.0,0.0,17.0,3900,더 벤티,주스/에이드/음료
HOT 딸기뱅쇼,HOT,600.0,270.0,0.0,56.0,0.0,17.0,3900,더 벤티,주스/에이드/음료
ICE 고구마크림타로라떼,ICE,600.0,285.0,0.0,34.0,7.8,97.0,4300,더 벤티,주스/에이드/음료
